[128, 10240, 0.0]
[9761, 10240, 1.0]
[128, 7468, 0.0]
[128, 7901, 1.0]
[3144, 6341, 1.0]
[8341, 10240, 1.0]
[9281, 10240, 0.0]
[9790, 10240, 0.0]
[5970, 10240, 0.0]
[7566, 10240, 0.0]
[128, 9121, 1.0]
[10090, 10240, 0.0]
[2, 10240, 0.0]
[8601, 10240, 0.0]
[10240, 10240, 1.0]
[819, 10240, 1.0]
[10240, 10240, 0.0]
[7010, 8606, 0.0]
[10240, 10240, 1.0]
[9430, 10240, 1.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[979, 7535, 0.0]
[10240, 10240, 0.0]
[128, 8077, 0.0]
[10240, 10240, 0.0]
[128, 7814, 0.0]
[10240, 10240, 1.0]
[128, 10240, 1.0]
[10240, 10240, 1.0]
[6490, 10240, 0.0]
[5107, 7397, 0.0]
[128, 6015, 1.0]
[4290, 10240, 0.0]
[3106, 10240, 1.0]
[6191, 10240, 1.0]
[128, 10240, 1.0]
[128, 7360, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[9707, 10240, 0.0]
[10240, 10240, 1.0]
[128, 9283, 1.0]
[10240, 10240, 1.0]
[9333, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[2, 10240, 1.0]
[10240, 10240, 0.0]
[2, 10240, 0.0]
[5121, 8721, 0.0]
[7308, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[2, 128, 1.0]
[3107, 3136, 1.0]
[575, 7455, 0.0]
[2698, 8774, 0.0]
[8498, 10240, 0.0]
[128, 5282, 1.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[5054, 10240, 1.0]
[128, 8438, 1.0]
[128, 8944, 1.0]
[9459, 10240, 1.0]
[128, 1002, 1.0]
[3084, 5157, 0.0]
[6691, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 1.0]
[3600, 10240, 0.0]
[3814, 7257, 0.0]
[2100, 10240, 1.0]
[7587, 7987, 0.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[5370, 10240, 0.0]
[967, 2272, 0.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[5642, 10240, 0.0]
[128, 7887, 1.0]
[8823, 10240, 0.0]
[128, 9502, 0.0]
[128, 6938, 0.0]
[2582, 6359, 0.0]
[7331, 10240, 0.0]
[10240, 10240, 0.0]
[2990, 5421, 1.0]
[10232, 10240, 0.0]
[10240, 10240, 0.0]
[128, 8804, 0.0]
[3729, 10240, 1.0]
[10240, 10240, 1.0]
[1110, 10240, 1.0]
[128, 7339, 1.0]
[128, 7883, 0.0]
[6835, 9650, 0.0]
[128, 9079, 1.0]
[10240, 10240, 1.0]
[421, 10240, 0.0]
[4695, 9380, 1.0]
[10240, 10240, 0.0]
[9973, 10240, 0.0]
[2, 128, 0.0]
[4489, 10240, 0.0]
[128, 9217, 0.0]
[128, 9817, 0.0]
[6267, 10240, 1.0]
[6316, 7971, 1.0]
[128, 6657, 0.0]
[10240, 10240, 1.0]
[128, 7262, 1.0]
[7381, 10240, 0.0]
[5125, 10240, 0.0]
[9306, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[3437, 10240, 1.0]
[128, 4038, 0.0]
[4637, 10240, 1.0]
[128, 9420, 1.0]
[4895, 10240, 1.0]
[10240, 10240, 0.0]
[1636, 10240, 0.0]
[4792, 10240, 0.0]
[167, 10240, 0.0]
[10240, 10240, 1.0]
[128, 10240, 1.0]
[9363, 10240, 0.0]
[128, 10240, 1.0]
[10240, 10240, 1.0]
[128, 8254, 0.0]
[10038, 10067, 0.0]
[128, 4292, 0.0]
[10240, 10240, 1.0]
[7507, 10240, 1.0]
[2181, 10240, 0.0]
[9547, 10240, 0.0]
[3591, 10240, 1.0]
[10240, 10240, 1.0]
[2, 10240, 1.0]
[9047, 10240, 0.0]
[10240, 10240, 0.0]
[128, 3510, 1.0]
[128, 10240, 0.0]
[9233, 10240, 1.0]
[8330, 10240, 0.0]
[8955, 10240, 1.0]
[5431, 10240, 1.0]
[171, 10240, 1.0]
[7181, 10240, 1.0]
[3651, 10240, 1.0]
[128, 5464, 1.0]
[271, 10240, 0.0]
[128, 9679, 0.0]
[9284, 10240, 1.0]
[128, 10240, 0.0]
[380, 9811, 1.0]
[128, 9994, 0.0]
[829, 9066, 0.0]
[10175, 10240, 0.0]
[128, 4281, 1.0]
[128, 4991, 0.0]
[6637, 10240, 0.0]
[8857, 10240, 1.0]
[8982, 10240, 1.0]
[128, 7138, 0.0]
[2089, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[5048, 10240, 0.0]
[128, 10240, 1.0]
[128, 10240, 1.0]
[5648, 9788, 1.0]
[3496, 10240, 1.0]
[10240, 10240, 1.0]
[1272, 4279, 1.0]
[128, 10240, 1.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[1657, 10098, 0.0]
[10061, 10124, 0.0]
[10240, 10240, 1.0]
[2, 10240, 0.0]
[9101, 10240, 1.0]
[128, 3322, 1.0]
[128, 10240, 0.0]
[10120, 10240, 0.0]
[128, 10010, 0.0]
[10240, 10240, 1.0]
[128, 6882, 0.0]
[10240, 10240, 1.0]
[1919, 10240, 1.0]
[7705, 8260, 0.0]
[128, 10052, 1.0]
[128, 10240, 1.0]
[6129, 7650, 1.0]
[9160, 10240, 1.0]
[6034, 10240, 1.0]
[4968, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[9511, 10240, 1.0]
[2, 128, 1.0]
[8010, 10240, 0.0]
[128, 10240, 0.0]
[9264, 10240, 1.0]
[10240, 10240, 1.0]
[9891, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[1265, 10240, 0.0]
[128, 7739, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[278, 10240, 1.0]
[4372, 7842, 0.0]
[4013, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[7128, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[128, 8149, 1.0]
[10240, 10240, 0.0]
[7158, 10240, 0.0]
[128, 8113, 1.0]
[4823, 10240, 1.0]
[128, 10240, 0.0]
[6875, 10240, 0.0]
[128, 10240, 0.0]
[10081, 10240, 0.0]
[2, 128, 0.0]
[128, 9267, 0.0]
[10240, 10240, 1.0]
[5742, 10240, 1.0]
[10240, 10240, 1.0]
[8673, 10240, 0.0]
[2, 128, 0.0]
[1272, 10240, 1.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[128, 1739, 1.0]
[9926, 10240, 0.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[128, 4674, 1.0]
[6176, 10240, 0.0]
[9351, 10240, 1.0]
[10229, 10240, 1.0]
[4798, 10240, 1.0]
[10240, 10240, 1.0]
[128, 3169, 1.0]
[10240, 10240, 1.0]
[7324, 10240, 1.0]
[3012, 10240, 0.0]
[128, 10240, 0.0]
[128, 10240, 1.0]
[128, 10204, 0.0]
[3368, 8982, 1.0]
[1777, 9829, 0.0]
[6389, 10240, 0.0]
[6868, 10240, 1.0]
[2, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[128, 4439, 0.0]
[264, 7449, 1.0]
[8751, 9673, 0.0]
[6726, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[4579, 10240, 1.0]
[128, 10240, 1.0]
[2161, 10240, 1.0]
[128, 8757, 1.0]
[9977, 10240, 0.0]
[128, 6935, 0.0]
[8244, 10240, 0.0]
[128, 869, 1.0]
[9672, 9961, 1.0]
[128, 10240, 0.0]
[8472, 10240, 0.0]
[128, 10240, 1.0]
[10240, 10240, 1.0]
[128, 5039, 0.0]
[128, 10240, 1.0]
[5626, 10240, 1.0]
[664, 10240, 1.0]
[10223, 10240, 1.0]
[741, 8046, 1.0]
[10240, 10240, 1.0]
[6096, 10240, 0.0]
[8680, 10240, 0.0]
[10240, 10240, 0.0]
[2, 10240, 0.0]
[6611, 10240, 1.0]
[3719, 10240, 0.0]
[128, 10240, 1.0]
[128, 7336, 0.0]
[128, 8924, 1.0]
[9623, 10240, 1.0]
[2612, 10240, 0.0]
[128, 6604, 0.0]
[128, 8712, 1.0]
[9307, 10240, 1.0]
[3879, 10240, 1.0]
[128, 10240, 0.0]
[6961, 10240, 0.0]
[1515, 10240, 0.0]
[491, 10240, 1.0]
[8533, 10240, 1.0]
[713, 10240, 1.0]
[128, 10240, 0.0]
[6196, 10240, 1.0]
[8739, 10240, 0.0]
[128, 8844, 0.0]
[10240, 10240, 1.0]
[9260, 10240, 0.0]
[2596, 10240, 0.0]
[128, 10240, 0.0]
[5751, 10240, 0.0]
[7750, 10240, 1.0]
[3654, 10240, 1.0]
[8399, 10240, 1.0]
[10240, 10240, 0.0]
[128, 8328, 0.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[446, 7236, 1.0]
[4957, 10240, 0.0]
[5636, 10240, 1.0]
[128, 10240, 1.0]
[4285, 8024, 0.0]
[128, 9038, 0.0]
[10240, 10240, 1.0]
[128, 7873, 0.0]
[128, 2658, 0.0]
[128, 8712, 0.0]
[7100, 10240, 1.0]
[7890, 10240, 1.0]
[9218, 10240, 1.0]
[8011, 10240, 1.0]
[4982, 9690, 1.0]
[128, 4138, 0.0]
[10240, 10240, 1.0]
[6674, 10240, 0.0]
[10240, 10240, 1.0]
[9957, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[3438, 10240, 0.0]
[10240, 10240, 1.0]
[128, 3064, 0.0]
[5333, 10240, 1.0]
[7790, 10240, 1.0]
[922, 2751, 0.0]
[5067, 9042, 0.0]
[8523, 10240, 1.0]
[128, 6102, 0.0]
[7800, 10240, 1.0]
[2434, 10240, 0.0]
[10240, 10240, 0.0]
[1512, 3886, 1.0]
[3456, 6887, 0.0]
[5049, 5248, 1.0]
[8805, 10240, 1.0]
[10240, 10240, 1.0]
[1418, 10240, 0.0]
[10240, 10240, 1.0]
[128, 3894, 1.0]
[10240, 10240, 0.0]
[5238, 7309, 0.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[7515, 10240, 1.0]
[3336, 10240, 1.0]
[128, 6554, 0.0]
[128, 10240, 1.0]
[9753, 10039, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[2, 128, 1.0]
[8038, 10240, 0.0]
[10240, 10240, 0.0]
[128, 7742, 0.0]
[427, 10240, 0.0]
[8634, 10240, 0.0]
[8670, 10240, 1.0]
[128, 9463, 1.0]
[128, 4612, 0.0]
[128, 7657, 1.0]
[9704, 10240, 0.0]
[1244, 10240, 1.0]
[128, 10240, 1.0]
[128, 10240, 1.0]
[10240, 10240, 1.0]
[9261, 10045, 1.0]
[128, 10240, 1.0]
[128, 6467, 1.0]
[128, 5164, 1.0]
[8310, 10240, 0.0]
[128, 10240, 0.0]
[8390, 10240, 1.0]
[128, 10240, 1.0]
[3934, 10240, 1.0]
[10240, 10240, 1.0]
[128, 7606, 0.0]
[10240, 10240, 1.0]
[7934, 10240, 1.0]
[2, 10240, 1.0]
[9548, 10240, 0.0]
[10240, 10240, 1.0]
[2, 10240, 1.0]
[7688, 10240, 0.0]
[128, 10240, 0.0]
[5608, 6777, 0.0]
[7338, 10240, 0.0]
[128, 8655, 0.0]
[10240, 10240, 1.0]
[128, 6889, 1.0]
[9010, 10240, 1.0]
[9584, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[128, 10240, 1.0]
[3893, 10240, 1.0]
[10240, 10240, 1.0]
[128, 9722, 0.0]
[5650, 7064, 0.0]
[10240, 10240, 0.0]
[2, 8488, 0.0]
[10240, 10240, 1.0]
[4127, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[7155, 10240, 1.0]
[8973, 10240, 1.0]
[10240, 10240, 1.0]
[9788, 10240, 1.0]
[128, 5148, 1.0]
[128, 8970, 0.0]
[128, 9899, 1.0]
[9108, 10240, 0.0]
[10240, 10240, 1.0]
[9936, 10240, 1.0]
[2, 10240, 0.0]
[6486, 9481, 1.0]
[6607, 10240, 1.0]
[10240, 10240, 0.0]
[5092, 10240, 1.0]
[10240, 10240, 1.0]
[4560, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[5022, 10240, 0.0]
[128, 10240, 0.0]
[9522, 10240, 0.0]
[10240, 10240, 1.0]
[128, 10240, 1.0]
